cohort,trial,arm,create_ms,start_ms,prewarm_ms,unpark_ms,unmount_ms,patch_ms,mount_ms,restore_ms,ready_ms,verify_ms,activation_verified_ms,vmm_lifetime_cpu_ms,vmm_major_faults,vmm_rss_kib,vmm_hwm_kib
concurrent-cohort1,concurrent-cohort1-2-fresh-0,fresh,0.5116269999999999,85.375515,,,,,68.029097,8.999492,162.924326,978.360657,1141.287926,670.0,0,116248,116248
concurrent-cohort1,concurrent-cohort1-2-fresh-1,fresh,0.727138,86.088969,,,,,67.381473,15.731987,169.93474899999998,1059.382166,1229.318874,670.0,0,116376,116376
concurrent-cohort1,concurrent-cohort1-2-blank-1,blank,15.296437,75.272905,177.56387800000002,7.593977,32.644087,4.035838,8.346925,3.429906,56.057957,1020.227093,1076.288667,650.0,0,117416,117416
concurrent-cohort1,concurrent-cohort1-2-blank-0,blank,15.308313,75.640362,172.897885,4.214598,25.000829,3.868146,7.807035,2.646754,43.546697,1248.3670570000002,1291.915522,660.0,1,118188,118188
concurrent-cohort1,concurrent-cohort1-3-blank-0,blank,15.026009,68.408781,167.650629,4.178659000000001,27.925663999999998,3.684726,9.469338,3.674363,48.95343,1125.9255349999999,1174.8822599999999,630.0,0,118160,118160
concurrent-cohort1,concurrent-cohort1-3-blank-1,blank,17.279916,80.659544,178.643552,7.389336,22.461302999999997,3.756612,8.299333,2.592139,44.505393999999995,1240.748245,1285.255211,650.0,0,118112,118112
concurrent-cohort1,concurrent-cohort1-3-fresh-1,fresh,0.522325,73.368371,,,,,73.308573,10.617006,157.82181400000002,965.209448,1123.03377,650.0,0,116576,116576
concurrent-cohort1,concurrent-cohort1-3-fresh-0,fresh,0.440485,66.877191,,,,,63.026799,9.248750999999999,139.600219,1068.700186,1208.302478,620.0,0,116108,116108
concurrent-cohort2,concurrent-cohort2-0-fresh-0,fresh,0.6612089999999999,78.692835,,,,,60.053652,9.576528000000001,148.99342199999998,962.801018,1111.7973809999999,650.0,0,116880,116880
concurrent-cohort2,concurrent-cohort2-0-fresh-1,fresh,0.8389800000000001,83.498223,,,,,67.868939,9.815948,162.02775599999998,973.630326,1135.6597239999999,650.0,0,116328,116328
concurrent-cohort2,concurrent-cohort2-0-blank-0,blank,15.621639,69.793232,166.69738,3.654898,24.666373,8.092017,7.698962,2.353259,46.472649,928.520628,974.995824,610.0,0,116984,116984
concurrent-cohort2,concurrent-cohort2-0-blank-1,blank,21.611304,73.338274,179.111519,6.197881,28.741966,4.006192,7.805615,2.997383,49.755476,1136.786044,1186.543294,680.0,0,117628,117628
concurrent-cohort2,concurrent-cohort2-1-blank-0,blank,14.550176,75.47235500000001,177.91763799999998,7.032268,22.614283,3.3374949999999997,9.284065,1.942777,44.218652,1028.397907,1072.630315,640.0,0,117428,117428
concurrent-cohort2,concurrent-cohort2-1-blank-1,blank,19.69989,71.800841,171.207872,4.318481,31.715590000000002,3.661417,8.432314,2.639095,50.774105,1121.253654,1172.0298950000001,620.0,0,117860,117860
concurrent-cohort2,concurrent-cohort2-1-fresh-0,fresh,0.45682900000000004,78.844566,,,,,61.184962000000006,9.228981000000001,149.722201,1072.0539,1221.777969,660.0,0,116668,116668
concurrent-cohort2,concurrent-cohort2-1-fresh-1,fresh,0.275754,79.645521,,,,,75.206723,10.351347,165.490058,1052.270104,1217.762926,640.0,1,116984,116984
concurrent-cohort2,concurrent-cohort2-2-fresh-1,fresh,0.424818,72.984151,,,,,63.795872,9.065457,146.27600199999998,958.535335,1104.814204,630.0,0,116160,116160
concurrent-cohort2,concurrent-cohort2-2-fresh-0,fresh,0.391427,72.222051,,,,,65.358261,8.961412000000001,146.939552,1046.243381,1193.184791,620.0,0,116132,116132
concurrent-cohort2,concurrent-cohort2-2-blank-0,blank,14.171644,76.470066,177.227032,6.838892,25.442075000000003,3.4571340000000004,9.390896,2.376027,47.513316,1013.759329,1061.27511,600.0,0,117368,117368
concurrent-cohort2,concurrent-cohort2-2-blank-1,blank,14.151653999999999,74.05455699999999,165.11534899999998,4.039952,35.097317000000004,3.537476,7.019855000000001,2.4807840000000003,52.183537,1235.248693,1287.4346970000001,660.0,0,117432,117432
concurrent-cohort2,concurrent-cohort2-3-blank-0,blank,14.264196,78.387647,179.29816200000002,6.223077,31.778265,3.4239290000000002,9.009091,2.832395,53.272861999999996,1238.690179,1291.965802,680.0,0,117692,117692
concurrent-cohort2,concurrent-cohort2-3-blank-1,blank,14.467333,78.533717,175.004988,3.865388,28.026979,6.580055,9.565949,2.457751,50.502217,1243.508325,1294.0123489999999,700.0,1,117748,117748
concurrent-cohort2,concurrent-cohort2-3-fresh-1,fresh,0.417353,68.620508,,,,,66.803728,10.834559,146.684392,951.6054889999999,1098.292545,630.0,0,116416,116416
concurrent-cohort2,concurrent-cohort2-3-fresh-0,fresh,0.5871780000000001,71.886151,,,,,63.63530300000001,9.355778,145.469017,965.055741,1110.526334,630.0,0,116372,116372
concurrent-final1,concurrent-final1-0-fresh-0,fresh,1.039196,86.143467,,,,,75.825088,9.138979,172.153948,959.626323,1131.78208,670.0,0,116348,116348
concurrent-final1,concurrent-final1-0-fresh-1,fresh,1.095132,87.03048,,,,,65.414708,12.195693,165.741129,974.089877,1139.837854,670.0,0,117076,117076
concurrent-final1,concurrent-final1-0-blank-0,blank,21.512311999999998,80.527453,184.389307,7.585031,29.220067999999998,3.591939,8.665501,3.5257389999999997,52.593051,1048.470288,1101.065605,670.0,0,116980,116980
concurrent-final1,concurrent-final1-0-blank-1,blank,15.831273,75.49128099999999,174.66235,4.401293,25.43266,7.286817999999999,8.665709000000001,2.475857,48.272781,1248.7320419999999,1297.006413,680.0,0,118004,118004
concurrent-final1,concurrent-final1-1-blank-0,blank,21.31451,75.532592,184.204643,7.397235,32.35407,3.36483,7.064959,2.4561349999999997,52.642992,919.717946,972.3637219999999,630.0,0,117060,117060
concurrent-final1,concurrent-final1-1-blank-1,blank,15.656407000000002,74.864499,169.988122,4.123454000000001,29.680630999999998,6.358447,8.144791,3.182878,51.498135,1130.552062,1182.05237,630.0,0,118116,118116
concurrent-final1,concurrent-final1-1-fresh-0,fresh,0.368859,72.38909000000001,,,,,72.193676,10.404059,155.360418,962.054027,1117.415978,670.0,0,116188,116188
concurrent-final1,concurrent-final1-1-fresh-1,fresh,0.405027,75.22677999999999,,,,,64.552943,10.121841,150.310843,1070.677629,1220.990574,650.0,0,115920,115920
concurrent-final1,concurrent-final1-2-fresh-1,fresh,0.363005,70.458586,,,,,69.2814,9.41548,149.525731,1081.203585,1230.731389,670.0,0,117140,117140
concurrent-final1,concurrent-final1-2-fresh-0,fresh,0.5350729999999999,87.286475,,,,,63.741174,8.272514,159.84124599999998,1066.9065289999999,1226.750105,670.0,0,116288,116288
concurrent-final1,concurrent-final1-2-blank-0,blank,17.461052000000002,77.952681,175.499727,4.673962,28.300461,5.698459000000001,7.070833,2.054264,47.805419,1241.85204,1289.659448,650.0,0,118092,118092
concurrent-final1,concurrent-final1-2-blank-1,blank,17.443643,77.886237,181.648905,7.998463000000001,30.922978,3.0341959999999997,7.715036,2.4829209999999997,52.158555,1236.8680780000002,1289.031757,680.0,0,117924,117924
concurrent-final1,concurrent-final1-3-blank-0,blank,17.207034,69.54725400000001,180.886492,6.331061,24.003964,5.623431,7.238436,1.940649,45.153347000000004,1132.214019,1177.369627,640.0,0,119596,119596
concurrent-final1,concurrent-final1-3-blank-1,blank,18.827544000000003,75.525815,173.68106799999998,3.976248,26.608091,2.870727,8.249147,2.574505,44.283522999999995,1247.224264,1291.50933,670.0,0,118084,118084
concurrent-final1,concurrent-final1-3-fresh-1,fresh,0.371268,76.018856,,,,,68.63041799999999,10.376878000000001,155.404109,1077.34959,1232.755436,670.0,0,117128,117128
concurrent-final1,concurrent-final1-3-fresh-0,fresh,0.412634,83.315446,,,,,65.12534000000001,10.880179,159.739937,1069.192045,1228.935396,670.0,0,116192,116192
concurrent-final2,concurrent-final2-0-fresh-0,fresh,0.727447,77.077478,,,,,58.606458,11.162778,147.57984499999998,965.017282,1112.600015,640.0,0,116800,116800
concurrent-final2,concurrent-final2-0-fresh-1,fresh,0.6877479999999999,91.677944,,,,,66.03445199999999,10.59226,168.999331,959.977134,1128.9781400000002,630.0,0,116216,116216
concurrent-final2,concurrent-final2-0-blank-1,blank,16.631507,77.401015,178.89208000000002,3.886673,32.141369000000005,6.680587,8.668455999999999,2.559872,53.944777,1131.142599,1185.089689,650.0,0,118236,118236
concurrent-final2,concurrent-final2-0-blank-0,blank,22.330928999999998,73.88256899999999,183.074724,6.414295,35.61025,3.433349,7.046913,2.766591,55.277208,1241.812285,1297.090517,670.0,0,118004,118004
concurrent-final2,concurrent-final2-1-blank-1,blank,14.215596,88.67571000000001,185.713925,6.526256999999999,30.676074,3.571774,8.330486,2.870151,51.978339999999996,1139.346593,1191.32767,660.0,1,118152,118152
concurrent-final2,concurrent-final2-1-blank-0,blank,15.296756,74.002863,171.985318,3.793043,27.070978999999998,7.183523,7.351515,2.1720099999999998,47.578229,1248.52862,1296.107953,650.0,1,117732,117732
concurrent-final2,concurrent-final2-1-fresh-0,fresh,0.780699,72.396978,,,,,67.599846,13.642903,154.429857,980.995827,1135.4282600000001,670.0,0,116464,116464
concurrent-final2,concurrent-final2-1-fresh-1,fresh,0.591461,79.714912,,,,,68.90399,10.362972999999998,159.580589,1064.885114,1224.4674559999999,670.0,0,116480,116480
concurrent-final2,concurrent-final2-2-fresh-0,fresh,0.56859,77.654369,,,,,66.480482,10.811861,155.52085399999999,963.012491,1118.535529,630.0,0,116324,116324
concurrent-final2,concurrent-final2-2-fresh-1,fresh,0.608849,79.332747,,,,,65.129878,10.342244,155.418287,1067.234301,1222.654413,650.0,0,116392,116392
concurrent-final2,concurrent-final2-2-blank-0,blank,14.258404,72.190372,162.518474,4.200597999999999,27.575946000000002,2.772351,8.202552,2.219033,44.975035,923.800631,968.777574,610.0,0,116968,116968
concurrent-final2,concurrent-final2-2-blank-1,blank,21.57725,73.14681900000001,168.074051,7.545509,24.733446,5.462998,7.872679000000001,2.247516,47.8682,927.866132,975.7361089999999,630.0,0,116856,116856
concurrent-final2,concurrent-final2-3-blank-1,blank,14.688944000000001,75.55527500000001,173.777378,6.331996,28.039354,4.465736,8.115969,2.496701,49.455804,1167.565777,1217.024031,680.0,0,118268,118268
concurrent-final2,concurrent-final2-3-blank-0,blank,14.465167,71.306138,169.371542,3.726162,23.716056,8.772438000000001,9.521689,2.649857,48.395034,1259.8073780000002,1308.203911,680.0,0,118120,118120
concurrent-final2,concurrent-final2-3-fresh-0,fresh,0.42963,77.53798300000001,,,,,69.691355,8.874292,156.539122,975.577028,1132.1189279999999,650.0,1,116372,116372
concurrent-final2,concurrent-final2-3-fresh-1,fresh,0.456181,73.760676,,,,,79.459296,9.210548000000001,162.89144199999998,1052.653235,1215.546521,640.0,0,117412,117412
